Material     B1          B2              B3           C1                C2             C3        
LF5          1.28035628  0.163505973     0.893930112  0.00929854416     0.0449135769   110.493685 
SFPL51       1.17010505  0.0475710783    0.763832445  0.00616203924     0.0263372876   141.882642
SFPL53       0.983532327 0.0695688140    1.11409238   0.00492234955     0.0193581091   264.275294
SLAL10       1.52812575  0.367965267     1.11751784   0.00776817644     0.0272026548   88.8697400
SBAM4        1.41059317  0.111201306     1.34148939   0.00963312192     0.0498778210   152.237696
SBSL7        1.15150190  0.118583612     1.26301359   0.0105984130     -0.0118225190   129.617662
SK1300       0.744386780 0.360198890     0.918623119  0.00495119834     0.0141130274   100.428510
Infrasil     0.476523070 0.627786368     0.872274404  0.00284888095     0.0118369052   95.6856012
CAF2         0.6188140   0.4198937       3.426299     0.002759866       0.01061251     106.8123
SFTM16       1.32940907  0.141512125     1.44299068   0.0102377287      0.0578081956   150.597139
